alpha,beta,cluster_id
-0.610015,0.8176266,1
-0.58266467,0.97005504,1
4.131524,-2.5358026,3
2.796334,-0.5542289,3
-0.4856957,0.6651982,1
0.0066088145,-0.7066591,4
-0.49564123,0.20791307,4
-0.32905337,0.36034057,1
0.47902212,-2.68823,0
-0.4260224,0.36034146,1
0.09860508,0.36034146,4
0.0712548,-0.8590884,0
0.1781696,0.6651982,1
-0.26689366,0.20791216,4
-0.22711152,0.5127698,1
-0.47823653,0.36034146,1
0.23535638,-0.24937299,4
0.34973028,-1.3163744,0
-0.30667588,0.055484682,4
-0.30667582,-0.24937299,4
-0.37132192,0.6651982,1
-0.4135905,0.20791307,4
-0.10776491,-0.4018032,4
-0.31164864,0.20791216,4
-0.50558674,0.97005504,1
-0.18484293,-0.4018023,4
-0.07295553,-0.40180048,4
0.70279694,-0.096943706,4
0.08120045,-0.096943706,4
2.3090026,-1.0115159,3
-0.49315485,0.6651982,1
-0.49066845,0.055483773,4
-0.25446174,-0.7066582,4
0.41686258,-0.24937208,4
0.33978462,0.36034146,4
0.0861731,0.5127698,1
-0.5379098,0.5127698,1
-0.5727192,0.6651982,1
-0.6348788,0.8176266,1
-0.37132186,-0.4018023,4
0.39448506,-1.3163735,0
-0.53293693,-0.096943706,4
-0.27186644,0.055483773,4
-0.5254778,0.36034146,1
-0.47077733,0.36034057,1
0.4342673,-2.2309449,0
-0.49812758,0.5127698,1
-0.04063254,-0.4018023,4
0.09363232,-0.096944615,4
0.14833288,-0.5542298,4
-0.22959785,0.20791307,4
-0.3340261,-0.7066582,4
-0.48818207,0.8176266,1
-0.40861768,-0.24937299,4
-0.49066845,0.36034057,1
-0.17489734,0.97005504,1
0.48648134,-0.4018023,4
0.1856287,-0.7066591,0
-0.19230215,0.36034146,1
-0.5254778,0.8176266,1
-0.49564117,0.6651982,1
-0.47575015,0.97005504,1
-0.043118924,-0.096943706,4
-0.018255085,0.5127698,1
0.29254326,-1.1639442,0
-0.32408056,0.20791307,4
1.6650285,-2.9930868,3
-0.44591355,0.5127698,1
-0.65476996,0.97005504,1
-0.4260224,0.8176266,1
-0.37629467,0.6651982,1
0.21297885,-0.8590893,0
2.3462982,-3.1455162,3
0.14833276,0.6651982,1
-0.30916232,0.6651982,1
-0.30667588,0.5127698,1
0.73263365,-1.4688019,0
0.16822395,-0.24937208,4
-0.4707774,0.97005504,1
-0.5006139,0.97005504,1
0.78733414,-2.2309458,0
-0.27932563,0.36034146,1
-0.043118924,0.20791216,4
-0.11273773,-0.40180138,4
0.5038861,-0.7066591,0
0.22541083,-1.3163735,0
0.6406374,-1.9260889,0
-0.5528281,0.8176266,1
-0.26938006,0.055483773,4
-0.56526,0.36034146,1
-0.4260224,0.6651982,1
0.29005682,-0.24937208,4
1.8713986,-3.2979445,3
0.87435764,-1.3163744,0
0.18314224,-1.4688019,0
-0.023227792,0.8176266,1
-0.20970677,0.20791307,4
-0.15251994,-0.40180138,4
-0.3041894,0.5127698,1
-0.14754717,-0.40180048,4
-0.053064518,0.055484682,4
0.20303331,-1.3163735,0
0.09114599,-0.096943706,4
0.12346904,-0.5542307,4
0.26767942,-0.8590866,0
0.6282054,-1.6212312,0
-0.122683324,-0.24937299,4
-0.010795932,0.20791307,4
0.36713478,-0.4018023,4
-0.6323924,0.97005504,1
0.16822395,-1.3163726,0
-0.3738083,0.20791216,4
-0.5080731,0.8176266,1
0.27762485,-0.096943706,4
-0.12268327,0.36034146,4
-0.47326377,0.5127698,1
-0.09284666,-0.096944615,4
-0.44342712,0.20791216,4
-0.40613136,0.6651982,1
-0.3340261,0.5127698,1
-0.16495186,-0.096944615,4
-0.4309952,0.6651982,1
0.28011128,0.055484682,4
-0.577692,0.97005504,1
-0.520505,0.97005504,1
-0.4061313,0.6651982,1
-0.018255025,-0.5542289,4
-0.52796423,0.8176266,1
-0.15749271,0.8176266,1
-0.29921666,0.8176266,1
-0.19478847,-0.5542298,4
-0.60504216,0.97005504,1
-0.4856957,0.8176266,1
-0.43845433,0.8176266,1
-0.56526,0.97005504,1
-0.5876375,0.6651982,1
0.6356645,0.20791307,4
0.120982476,0.97005504,1
-0.48818207,0.5127698,1
-0.35143083,-0.096944615,4
0.09363232,-0.096943706,4
0.8992215,-1.0115167,0
-0.06549638,-0.24937299,4
-0.42104965,0.6651982,1
0.15579197,0.055484682,4
0.12595536,-0.40180138,4
0.11103706,-0.096943706,4
-0.5851511,0.97005504,1
-0.5080731,0.6651982,1
-0.62990606,0.97005504,1
0.24032913,-1.9260871,0
-0.58763754,0.8176266,1
-0.44839987,-0.096944615,4
-0.5379098,-0.096943706,4
-0.5254779,0.20791307,4
-0.47575015,0.97005504,1
-0.4260224,0.6651982,1
1.5630866,-1.0115167,0
-0.6050422,0.97005504,1
-0.6125014,0.97005504,1
2.2269518,-1.6212302,3
0.22043794,0.20791307,4
0.20054688,0.20791307,4
-0.06549638,-0.8590884,0
-0.46829095,0.055483773,4
-0.597583,0.5127698,1
-0.38624015,0.36034146,1
-0.045605246,-0.7066582,4
0.07871401,0.36034146,4
-0.6224469,0.97005504,1
-0.18235649,-0.096943706,4
-0.5304506,0.8176266,1
0.66301477,-0.24937299,4
-0.43596795,0.055484682,4
-0.1923021,-0.5542307,4
-0.56277364,0.5127698,1
-0.37629473,0.97005504,1
0.17071027,0.055483773,4
-0.3738083,-0.096944615,4
-0.53790975,0.8176266,1
1.7023242,-0.85908747,0
0.39199874,-1.0115167,0
0.009095258,-0.096944615,4
-0.3738083,0.055483773,4
-0.40861768,0.055483773,4
-0.013282257,-1.3163744,0
-0.28927112,0.055484682,4
-0.5801784,0.97005504,1
-0.58763754,0.6651982,1
-0.4856957,0.5127698,1
-0.30916226,0.36034146,1
-0.3091622,0.20791216,4
-0.18981576,-0.096944615,4
-0.4707774,-0.24937208,4
-0.09036022,0.97005504,1
-0.46331823,0.6651982,1
-0.45337263,0.97005504,1
-0.49812758,0.8176266,1
-0.67466104,0.97005504,1
-0.43845433,0.5127698,1
-0.39121303,-0.5542298,4
-0.5379098,0.5127698,1
-0.6647154,0.97005504,1
-0.44591355,0.8176266,1
-0.26192096,-0.096943706,4
-0.39867213,0.97005504,1
-0.4011585,0.055483773,4
-0.38375384,0.5127698,1
-0.56277364,0.97005504,1
0.08120045,-0.5542289,4
-0.54039615,0.97005504,1
-0.60504216,0.6651982,1
-0.27186644,0.20791307,4
-0.39618576,0.5127698,1
-0.25197536,0.97005504,1
-0.4409407,0.055484682,4
-0.3389989,0.6651982,1
-0.61001503,0.8176266,1
-0.42850873,0.20791216,4
-0.2768392,0.20791307,4
0.2502748,-1.0115167,0
-0.6050422,0.97005504,1
-0.29175755,0.20791307,4
-0.26938006,0.36034146,1
-0.34645808,0.055484682,4
-0.18235655,0.20791307,4
-0.43348157,0.055484682,4
-0.06798282,-0.7066582,4
0.08120034,-0.096944615,4
-0.2942439,-0.5542298,4
-0.4658046,0.055484682,4
-0.532937,0.5127698,1
-0.29424396,-0.24937299,4
-0.20722039,0.20791307,4
-0.5379098,0.6651982,1
-0.4061313,0.5127698,1
-0.43348157,0.97005504,1
-0.48569563,0.97005504,1
-0.54039615,0.6651982,1
-0.52796423,0.20791307,4
-0.63239247,0.8176266,1
-0.46331817,0.6651982,1
-0.49315485,0.5127698,1
-0.1898157,-0.096943706,4
-0.02820062,-0.5542307,4
-0.46829095,0.20791307,4
-0.6199605,0.97005504,1
-0.37629467,-0.24937299,4
-0.48072293,0.8176266,1
-0.34645802,0.055484682,4
0.1508192,0.055484682,4
-0.5826647,0.97005504,1
-0.50807315,0.055484682,4
-0.34894446,-0.096943706,4
-0.3414853,-0.096943706,4
-0.4111041,0.36034146,1
-0.5453689,0.36034146,1
-0.5503417,0.6651982,1
-0.48072287,0.5127698,1
-0.48072293,0.8176266,1
-0.610015,0.8176266,1
-0.51553226,0.6651982,1
-0.23208429,-0.096943706,4
-0.6373652,0.8176266,1
-0.28927112,0.20791307,4
-0.24948898,-0.24937299,4
-0.54288256,0.5127698,1
-0.5677464,0.6651982,1
-0.46331823,0.20791307,4
-0.5279642,0.97005504,1
-0.47326377,0.36034057,1
-0.5403961,0.8176266,1
-0.60504216,0.97005504,1
-0.57023275,0.055483773,4
-0.49066845,0.20791307,4
-0.60752857,0.97005504,1
-0.5503417,0.20791307,4
-0.52796423,-0.096943706,4
-0.37132192,-0.096944615,4
-0.59509665,0.97005504,1
-0.4011585,0.6651982,1
-0.48818207,-0.096943706,4
-0.5826647,0.6651982,1
-0.687093,0.8176266,1
-0.53045064,0.6651982,1
-0.5826647,0.97005504,1
-0.21467954,0.97005504,1
-0.66471547,0.97005504,1
-0.6696883,0.97005504,1
-0.42104965,-0.24937208,4
-0.6174742,0.8176266,1
-0.55531454,0.36034146,1
-0.6398516,0.36034146,1
